strain	strain_link	taxa_link	class	environment	scientific_name
NIVA-CYA 149	https://norcca.scrol.net/strain/niva-cya-149	https://norcca.scrol.net/species/oscillatoria-curviceps	Cyanophyceae	Wet soil (solifluction)	Oscillatoria curviceps
NIVA-CYA 15	https://norcca.scrol.net/strain/niva-cya-15	https://norcca.scrol.net/species/planktothrix-agardhii	Cyanophyceae	Freshwater	Planktothrix agardhii
NIVA-CYA 151	https://norcca.scrol.net/strain/niva-cya-151	https://norcca.scrol.net/species/planktothrix-prolifica	Cyanophyceae	Freshwater	Planktothrix prolifica
NIVA-CYA 152	https://norcca.scrol.net/strain/niva-cya-152	https://norcca.scrol.net/species/pseudanabaena-catenata	Cyanophyceae	Freshwater	Pseudanabaena catenata
NIVA-CYA 153	https://norcca.scrol.net/strain/niva-cya-153	https://norcca.scrol.net/species/planktothrix-pseudagardhii	Cyanophyceae	Freshwater	Planktothrix pseudagardhii
NIVA-CYA 154	https://norcca.scrol.net/strain/niva-cya-154	https://norcca.scrol.net/species/phormidium-sp	Cyanophyceae	Freshwater, fish pond	Phormidium sp.
NIVA-CYA 155	https://norcca.scrol.net/strain/niva-cya-155	https://norcca.scrol.net/species/phormidium-sp	Cyanophyceae	Freshwater, fish pond	Phormidium sp.
NIVA-CYA 156/1	https://norcca.scrol.net/strain/niva-cya-1561	https://norcca.scrol.net/species/phormidium-sp	Cyanophyceae	Freshwater, fish pond	Phormidium sp.
NIVA-CYA 156/2	https://norcca.scrol.net/strain/niva-cya-1562	https://norcca.scrol.net/species/phormidium-sp	Cyanophyceae	Freshwater, fish pond	Phormidium sp.
NIVA-CYA 157	https://norcca.scrol.net/strain/niva-cya-157	https://norcca.scrol.net/species/unidentified-trichal-species		Freshwater, fish pond	Unidentified trichal species
NIVA-CYA 159	https://norcca.scrol.net/strain/niva-cya-159	https://norcca.scrol.net/species/synechococcus-sp	Cyanophyceae	Freshwater	Synechococcus sp.
NIVA-CYA 16	https://norcca.scrol.net/strain/niva-cya-16	https://norcca.scrol.net/species/merismopedia-punctata	Cyanophyceae	Freshwater	Merismopedia punctata
NIVA-CYA 160/1	https://norcca.scrol.net/strain/niva-cya-1601	https://norcca.scrol.net/species/microcystis-aeruginosa	Cyanophyceae	Freshwater	Microcystis aeruginosa
