ScientificName	AphiaID	Match type	ScientificName	Authority	AphiaID_accepted	ScientificName_accepted	Authority_accepted	used_aphia_id	comment
Thalassiosira minima	148925	exact	Thalassiosira minima	Gaarder, 1951	148925	Thalassiosira minima	Gaarder, 1951	148925	
Leptocylindrus danicus	149106	exact	Leptocylindrus danicus	Cleve, 1889	149106	Leptocylindrus danicus	Cleve, 1889	149106	
Asteromphalus hookeri	162259	exact	Asteromphalus hookeri	Ehrenberg, 1844	162259	Asteromphalus hookeri	Ehrenberg, 1844	162259	
Aulacoseira granulata var. angustissima	162865	exact	Aulacoseira granulata var. angustissima	(O.F.Müller) Simonsen, 1979	984183	Melosira granulata f. angustissima	Otto Müller, 1899	984183	
Coscinodiscus argus	149269	exact	Coscinodiscus argus	Ehrenberg, 1839	149269	Coscinodiscus argus	Ehrenberg, 1839	149269	
Coscinodiscus asteromphalus	149274	exact	Coscinodiscus asteromphalus	Ehrenberg, 1844	149274	Coscinodiscus asteromphalus	Ehrenberg, 1844	149274	
Coscinodiscus centralis	149159	exact	Coscinodiscus centralis	Ehrenberg, 1844	149159	Coscinodiscus centralis	Ehrenberg, 1844	149159	
Coscinodiscus concinnus	148992	exact	Coscinodiscus concinnus	W.Smith, 1856	148992	Coscinodiscus concinnus	W.Smith, 1856	148992	
Coscinodiscus divisus	149267	exact	Coscinodiscus divisus	Grunow, 1878	149267	Coscinodiscus divisus	Grunow, 1878	149267	
Coscinodiscus marginatus	156629	exact	Coscinodiscus marginatus	Ehrenberg, 1844	156629	Coscinodiscus marginatus	Ehrenberg, 1844	156629	
Coscinodiscus perforatus	149272	exact	Coscinodiscus perforatus	Ehrenberg, 1844	149272	Coscinodiscus perforatus	Ehrenberg, 1844	149272	
Coscinodiscus radiatus	149158	exact	Coscinodiscus radiatus	Ehrenberg, 1840	149158	Coscinodiscus radiatus	Ehrenberg, 1840	149158	
Coscinodiscus subbulliens	163191	exact	Coscinodiscus subbulliens	E.G.Jörgensen, 1905	163191	Coscinodiscus subbulliens	E.G.Jörgensen, 1905	163191	
Roperia	149104	exact	Roperia	A. Grunow ex J. Pelletan, 1889	149104	Roperia	A. Grunow ex J. Pelletan, 1889	149104	
Hemidiscus	180366	exact	Hemidiscus	G.C. Wallich, 1860	180366	Hemidiscus	G.C. Wallich, 1860	180366	
Actinocyclus	148944							148944	
Actinocyclus curvatulus	345847	exact	Actinocyclus curvatulus	Janisch, 1874	345847	Actinocyclus curvatulus	Janisch, 1874	345847	
Podosira stelligera	966501	exact	Podosira stelligera	(J.W. Bailey) Mann, 1907	984312	Hyalodiscus stelliger f. stelliger	J.W. Bailey, 1854	984312	
Melosira arctica	160537							160537	
Melosira nummuloides	149044	exact	Melosira nummuloides	C.Agardh, 1824	635472	Melosira discigera	Agardh, 1824	635472	
Stephanopyxis turris	149631	exact	Stephanopyxis turris	(Greville) Ralfs, 1861	149631	Stephanopyxis turris	(Greville) Ralfs, 1861	149631	
Guinardia striata	149113	exact	Guinardia striata	(Stolterfoth) Hasle, 1996	163243	Eucampia striata	Stolterfoth, 1879	163243	
Rhizosolenia eriensis	163521	exact	Rhizosolenia eriensis	H.L.Smith, 1872	985162	Rhizosolenia eriensis f. eriensis	H.L. Smith, 1872	985162	
Rhizosolenia hebetata	149070	exact	Rhizosolenia hebetata	Bailey, 1856	149070	Rhizosolenia hebetata	Bailey, 1856	149070	
Rhizosolenia imbricata	149116	exact	Rhizosolenia imbricata	Brightwell, 1858	149116	Rhizosolenia imbricata	Brightwell, 1858	149116	
Rhizosolenia longiseta	163522	exact	Rhizosolenia longiseta	O.Zacharias, 1893	163522	Rhizosolenia longiseta	O.Zacharias, 1893	163522	
Corethron criophilum	149110	exact	Corethron criophilum	Castracane, 1886	149110	Corethron criophilum	Castracane, 1886	149110	
Tetracyclus lacustris	176347	exact	Tetracyclus lacustris	Ralfs, 1843	176347	Tetracyclus lacustris	Ralfs, 1843	176347	
Tetracyclus rupestris	965738	exact	Tetracyclus rupestris	(Braun ex Rabenhorst) Grunow in Van Heurck, 1885	686495	Denticula thermalis var. rupestris	Kützing, 1849	686495	
Tabellaria fenestrata	149334	exact	Tabellaria fenestrata	(Lyngbye) Kützing, 1844	149334	Tabellaria fenestrata	(Lyngbye) Kützing, 1844	149334	
