Strain name	Species	Division	Class	Habitat	Strain Link	Species Link
UIO 003	Mantoniella squamata	Chlorophyta	Mamiellophyceae	Marine	https://norcca.scrol.net/strain/uio-003	https://norcca.scrol.net/species/mantoniella-squamata
UIO 007	Pseudoscourfieldia marina	Chlorophyta	Prasinophyceae	Marine	https://norcca.scrol.net/strain/uio-007	https://norcca.scrol.net/species/pseudoscourfieldia-marina
UIO 012	Synechococcus sp.	Cyanobacteria	Cyanophyceae	Marine	https://norcca.scrol.net/strain/uio-012	https://norcca.scrol.net/species/synechococcus-sp
UIO 013	Synechococcus sp.	Cyanobacteria	Cyanophyceae		https://norcca.scrol.net/strain/uio-013	https://norcca.scrol.net/species/synechococcus-sp
UIO 018	Phormidium sp.	Cyanobacteria	Cyanophyceae		https://norcca.scrol.net/strain/uio-018	https://norcca.scrol.net/species/phormidium-sp
UIO 021	Diacronema ennorea	Haptophyta	Pavlovophyceae	Marine	https://norcca.scrol.net/strain/uio-021	https://norcca.scrol.net/species/diacronema-ennorea
UIO 026	Haptolina ericina	Haptophyta	Prymnesiophyceae		https://norcca.scrol.net/strain/uio-026	https://norcca.scrol.net/species/haptolina-ericina
UIO 027	Haptolina ericina	Haptophyta	Prymnesiophyceae		https://norcca.scrol.net/strain/uio-027	https://norcca.scrol.net/species/haptolina-ericina
UIO 028	Haptolina ericina	Haptophyta	Prymnesiophyceae		https://norcca.scrol.net/strain/uio-028	https://norcca.scrol.net/species/haptolina-ericina
UIO 028/1	Haptolina ericina	Haptophyta	Prymnesiophyceae	Marine	https://norcca.scrol.net/strain/uio-0281	https://norcca.scrol.net/species/haptolina-ericina
UIO 030	Haptolina hirta				https://norcca.scrol.net/strain/uio-030	https://norcca.scrol.net/species/haptolina-hirta
UIO 033	Prymnesium kappa	Haptophyta	Prymnesiophyceae	Marine plankton	https://norcca.scrol.net/strain/uio-033	https://norcca.scrol.net/species/prymnesium-kappa
UIO 033/1	Prymnesium kappa	Haptophyta	Prymnesiophyceae	Marine plankton	https://norcca.scrol.net/strain/uio-0331	https://norcca.scrol.net/species/prymnesium-kappa
UIO 034	Prymnesium kappa	Haptophyta	Prymnesiophyceae	Marine	https://norcca.scrol.net/strain/uio-034	https://norcca.scrol.net/species/prymnesium-kappa
UIO 034/1	Prymnesium kappa	Haptophyta	Prymnesiophyceae	Marine plankton	https://norcca.scrol.net/strain/uio-0341	https://norcca.scrol.net/species/prymnesium-kappa
UIO 040/1	Prymnesium polylepis	Haptophyta	Prymnesiophyceae		https://norcca.scrol.net/strain/uio-0401	https://norcca.scrol.net/species/prymnesium-polylepis
UIO 041	Prymnesium polylepis	Haptophyta	Prymnesiophyceae		https://norcca.scrol.net/strain/uio-041	https://norcca.scrol.net/species/prymnesium-polylepis
UIO 042	Prymnesium sp.	Haptophyta	Prymnesiophyceae		https://norcca.scrol.net/strain/uio-042	https://norcca.scrol.net/species/prymnesium-sp
UIO 043	Haptolina cf. herdlensis	Haptophyta	Prymnesiophyceae		https://norcca.scrol.net/strain/uio-043	https://norcca.scrol.net/species/haptolina-cf-herdlensis
UIO 044	Chrysochromulina rotalis	Haptophyta	Prymnesiophyceae	Marine	https://norcca.scrol.net/strain/uio-044	https://norcca.scrol.net/species/chrysochromulina-rotalis
UIO 046	Chrysochromulina scutellum	Haptophyta	Prymnesiophyceae	Marine	https://norcca.scrol.net/strain/uio-046	https://norcca.scrol.net/species/chrysochromulina-scutellum
UIO 049	Chrysochromulina throndsenii	Haptophyta	Prymnesiophyceae	Marine	https://norcca.scrol.net/strain/uio-049	https://norcca.scrol.net/species/chrysochromulina-throndsenii
UIO 050	Chrysochromulina sp.	Haptophyta	Prymnesiophyceae	Marine	https://norcca.scrol.net/strain/uio-050	https://norcca.scrol.net/species/chrysochromulina-sp
UIO 054	Prymnesium parvum	Haptophyta	Prymnesiophyceae		https://norcca.scrol.net/strain/uio-054	https://norcca.scrol.net/species/prymnesium-parvum
UIO 056	Prymnesium parvum	Haptophyta	Prymnesiophyceae		https://norcca.scrol.net/strain/uio-056	https://norcca.scrol.net/species/prymnesium-parvum
UIO 061	Emiliania huxleyi	Haptophyta	Prymnesiophyceae		https://norcca.scrol.net/strain/uio-061	https://norcca.scrol.net/species/emiliania-huxleyi
UIO 063	Brachiomonas submarina	Chlorophyta	Chlorophyceae		https://norcca.scrol.net/strain/uio-063	https://norcca.scrol.net/species/brachiomonas-submarina
UIO 067	Tetraselmis sp.	Chlorophyta	Chlorodendrophyceae		https://norcca.scrol.net/strain/uio-067	https://norcca.scrol.net/species/tetraselmis-sp
UIO 069	Tetraselmis wettsteinii	Chlorophyta	Chlorodendrophyceae		https://norcca.scrol.net/strain/uio-069	https://norcca.scrol.net/species/tetraselmis-wettsteinii
UIO 070	Prasinocladus sp.	Chlorophyta	Chlorodendrophyceae		https://norcca.scrol.net/strain/uio-070	https://norcca.scrol.net/species/prasinocladus-sp
UIO 081	Amphidinium carterae	Myzozoa	Dinophyceae		https://norcca.scrol.net/strain/uio-081	https://norcca.scrol.net/species/amphidinium-carterae
UIO 085	Prorocentrum cordatum	Myzozoa	Dinophyceae		https://norcca.scrol.net/strain/uio-085	https://norcca.scrol.net/species/prorocentrum-cordatum
UIO 086	Prorocentrum cordatum	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/uio-086	https://norcca.scrol.net/species/prorocentrum-cordatum
UIO 090	Diacronema lutheri	Haptophyta	Pavlovophyceae		https://norcca.scrol.net/strain/uio-090	https://norcca.scrol.net/species/diacronema-lutheri
UIO 093	Isochrysis galbana	Haptophyta	Prymnesiophyceae		https://norcca.scrol.net/strain/uio-093	https://norcca.scrol.net/species/isochrysis-galbana
