AphiaID	ScientificName	Authority	AphiaID_accepted	ScientificName_accepted	Authority_accepted	Kingdom	Phylum	Class	Order	Family	taxonRank	Genus	Subgenus	Species	Subspecies	taxonomicStatus	Unacceptreason	LSID
612090	Arthrospira fusiformis	(Voronichin) Komárek & J.W.G.Lund, 1990	1327367	Limnospira fusiformis	(Voronichin) Nowicka-Krawczyk, Mühlsteinová & Hauer, 2019	Bacteria	Cyanobacteria	Cyanophyceae	Oscillatoriales	Microcoleaceae	Species	Arthrospira		fusiformis		unaccepted		urn:lsid:marinespecies.org:taxname:612090
391508	Azadinium	Elbrächter & Tillmann, 2009	391508	Azadinium	Elbrächter & Tillmann, 2009	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Amphidomataceae	Genus	Azadinium				accepted		urn:lsid:marinespecies.org:taxname:391508
839790	Azadinium dexteroporum	Percopo & Zingone, 2013	839790	Azadinium dexteroporum	Percopo & Zingone, 2013	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Amphidomataceae	Species	Azadinium		dexteroporum		accepted		urn:lsid:marinespecies.org:taxname:839790
624513	Azadinium poporum	Tillmann & Elbrächter, 2011	624513	Azadinium poporum	Tillmann & Elbrächter, 2011	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Amphidomataceae	Species	Azadinium		poporum		accepted		urn:lsid:marinespecies.org:taxname:624513
391509	Azadinium spinosum	Elbrächter & Tillmann, 2009	391509	Azadinium spinosum	Elbrächter & Tillmann, 2009	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Amphidomataceae	Species	Azadinium		spinosum		accepted		urn:lsid:marinespecies.org:taxname:391509
149002	Bacillariaceae	Ehrenberg, 1831	149002	Bacillariaceae	Ehrenberg, 1831	Chromista	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Family					accepted		urn:lsid:marinespecies.org:taxname:149002
149001	Bacillariales	Hendey, 1937 sensu emend.	149001	Bacillariales	Hendey, 1937 sensu emend.	Chromista	Bacillariophyta	Bacillariophyceae	Bacillariales		Order					accepted		urn:lsid:marinespecies.org:taxname:149001
591186	Bacillariophycanae		591186	Bacillariophycanae		Chromista	Bacillariophyta	Bacillariophyceae			Superorder					accepted		urn:lsid:marinespecies.org:taxname:591186
148899	Bacillariophyceae	Haeckel, 1878	148899	Bacillariophyceae	Haeckel, 1878	Chromista	Bacillariophyta	Bacillariophyceae			Class					accepted		urn:lsid:marinespecies.org:taxname:148899
148902	Bacillariophycidae	Mann, 1990	148902	Bacillariophycidae	Mann, 1990	Chromista	Bacillariophyta	Bacillariophyceae			Subclass					accepted		urn:lsid:marinespecies.org:taxname:148902
148898	Bacillariophyta		148898	Bacillariophyta		Chromista	Bacillariophyta				Phylum					accepted		urn:lsid:marinespecies.org:taxname:148898
493822	Bacillariophytina	Medlin & Kaczmarska, 2004	493822	Bacillariophytina	Medlin & Kaczmarska, 2004	Chromista	Bacillariophyta				Subphylum					accepted		urn:lsid:marinespecies.org:taxname:493822
6	Bacteria		6	Bacteria		Bacteria					Kingdom					accepted		urn:lsid:marinespecies.org:taxname:6
493841	Biciliata					Protozoa					Subkingdom					unaccepted	disused	urn:lsid:marinespecies.org:taxname:493841
204944	Blennothrix	Kützing ex Anagnostidis & Komárek, 1988	204944	Blennothrix	Kützing ex Anagnostidis & Komárek, 1988	Bacteria	Cyanobacteria	Cyanophyceae	Oscillatoriales	Microcoleaceae	Genus	Blennothrix				accepted		urn:lsid:marinespecies.org:taxname:204944
213723	Blennothrix lyngbyacea	(Kützing ex Gomont) Anagnostidis & Komárek, 1988	213723	Blennothrix lyngbyacea	(Kützing ex Gomont) Anagnostidis & Komárek, 1988	Bacteria	Cyanobacteria	Cyanophyceae	Oscillatoriales	Microcoleaceae	Species	Blennothrix		lyngbyacea		accepted		urn:lsid:marinespecies.org:taxname:213723
231768	Brachidiniaceae	Sournia, 1972	231768	Brachidiniaceae	Sournia, 1972	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Brachidiniaceae	Family					accepted		urn:lsid:marinespecies.org:taxname:231768
146624	Calothrix	C.Agardh ex Bornet & Flahault, 1886	146624	Calothrix	C.Agardh ex Bornet & Flahault, 1886	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Rivulariaceae	Genus	Calothrix				accepted		urn:lsid:marinespecies.org:taxname:146624
239094	Calothrix parietina	Thuret ex Bornet & Flahault, 1886	239094	Calothrix parietina	Thuret ex Bornet & Flahault, 1886	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Rivulariaceae	Species	Calothrix		parietina		accepted		urn:lsid:marinespecies.org:taxname:239094
149199	Catenulaceae	Mereschkowsky, 1902	149199	Catenulaceae	Mereschkowsky, 1902	Chromista	Bacillariophyta	Bacillariophyceae	Thalassiophysales	Catenulaceae	Family					accepted		urn:lsid:marinespecies.org:taxname:149199
109526	Centrodinium	Kofoid, 1907	109526	Centrodinium	Kofoid, 1907	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Ostreopsidaceae	Genus	Centrodinium				accepted		urn:lsid:marinespecies.org:taxname:109526
233744	Centrodinium punctatum	(Cleve) F.J.R.Taylor, 1976	233744	Centrodinium punctatum	(Cleve) F.J.R.Taylor, 1976	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Ostreopsidaceae	Species	Centrodinium		punctatum		accepted		urn:lsid:marinespecies.org:taxname:233744
233776	Chattonella	B.Biecheler, 1936	233776	Chattonella	B.Biecheler, 1936	Chromista	Ochrophyta	Raphidophyceae	Chattonellales	Chattonellaceae	Genus	Chattonella				accepted		urn:lsid:marinespecies.org:taxname:233776
233778	Chattonella antiqua	(Y.Hada) C.Ono, 1980	233778	Chattonella antiqua	(Y.Hada) C.Ono, 1980	Chromista	Ochrophyta	Raphidophyceae	Chattonellales	Chattonellaceae	Species	Chattonella		antiqua		accepted		urn:lsid:marinespecies.org:taxname:233778
246589	Chattonella globosa	Y.Hara & Chihara, 1994	707927	Vicicitus globosus	(Y.Hara & Chihara) F.H.Chang, 2012	Chromista	Ochrophyta	Raphidophyceae	Chattonellales	Chattonellaceae	Species	Chattonella		globosa		unaccepted	synonym	urn:lsid:marinespecies.org:taxname:246589
246847	Chattonella japonica	(S.Toriumi & H.Takano) Loeblich III & K.E.Fine, 1977	233761	Fibrocapsa japonica	S.Toriumi & H.Takano, 1973	Chromista	Ochrophyta	Raphidophyceae	Chattonellales	Chattonellaceae	Species	Chattonella		japonica		unaccepted		urn:lsid:marinespecies.org:taxname:246847
1696651	Chattonella malayana	W.M.Lum, H.C.Lim, S.T.Teng, K.Takahashi, Leaw, P.T. Lim & Iwataki, 2022	1696651	Chattonella malayana	W.M.Lum, H.C.Lim, S.T.Teng, K.Takahashi, Leaw, P.T. Lim & Iwataki, 2022	Chromista	Ochrophyta	Raphidophyceae	Chattonellales	Chattonellaceae	Species	Chattonella		malayana		accepted		urn:lsid:marinespecies.org:taxname:1696651
233780	Chattonella marina	(Subrahmanyan) Hara & Chihara, 1982	233780	Chattonella marina	(Subrahmanyan) Hara & Chihara, 1982	Chromista	Ochrophyta	Raphidophyceae	Chattonellales	Chattonellaceae	Species	Chattonella		marina		accepted		urn:lsid:marinespecies.org:taxname:233780
547444	Chattonella marina var. antiqua	(Hada) Demura & Kawachi, 2009	233778	Chattonella antiqua	(Y.Hada) C.Ono, 1980	Chromista	Ochrophyta	Raphidophyceae	Chattonellales	Chattonellaceae	Variety	Chattonella		marina		unaccepted		urn:lsid:marinespecies.org:taxname:547444
674442	Chattonella marina var. ovata	(Y.Hara & Chihara) Demura & Kawachi, 2009	700515	Chattonella ovata	Y.Hara & Chihara, 1994	Chromista	Ochrophyta	Raphidophyceae	Chattonellales	Chattonellaceae	Variety	Chattonella		marina		unaccepted		urn:lsid:marinespecies.org:taxname:674442
700515	Chattonella ovata	Y.Hara & Chihara, 1994	674442	Chattonella marina var. ovata	(Y.Hara & Chihara) Demura & Kawachi, 2009	Chromista	Ochrophyta	Raphidophyceae	Chattonellales	Chattonellaceae	Species	Chattonella		ovata		unaccepted		urn:lsid:marinespecies.org:taxname:700515
246590	Chattonella subsalsa	B.Biecheler, 1936	246590	Chattonella subsalsa	B.Biecheler, 1936	Chromista	Ochrophyta	Raphidophyceae	Chattonellales	Chattonellaceae	Species	Chattonella		subsalsa		accepted		urn:lsid:marinespecies.org:taxname:246590
233782	Chattonella verruculosa	Y.Hara & Chihara, 1994	531446	Pseudochattonella verruculosa	(Y.Hara & M.Chihara) S.Tanabe-Hosoi, D.Honda, S.Fukaya, Y.Inagaki & Y.Sako, 2007	Chromista	Ochrophyta	Raphidophyceae	Chattonellales	Chattonellaceae	Species	Chattonella		verruculosa		unaccepted		urn:lsid:marinespecies.org:taxname:233782
160583	Chattonellaceae	J. Throndsen, 1993	160583	Chattonellaceae	J. Throndsen, 1993	Chromista	Ochrophyta	Raphidophyceae	Chattonellales	Chattonellaceae	Family					accepted		urn:lsid:marinespecies.org:taxname:160583
