Species in NORCCA	scientific_name	Link to NORCCA website	AphiaID	Match type
Dinobryon sertularia	Dinobryon sertularia	https://norcca.scrol.net/species/Dinobryon-sertularia	157252	exact
Dinobryon sociale var. americanum	Dinobryon sociale var. americanum	https://norcca.scrol.net/species/Dinobryon-sociale-var-americanum	577718	exact
Dinobryon sp.				
Dinophyceae	Dinophyceae	https://norcca.scrol.net/species/Dinophyceae	19542	exact
Dinophyte sp.				
Ditylum brightwellii	Ditylum brightwellii	https://norcca.scrol.net/species/Ditylum-brightwellii	149023	exact
Dolichomastix tenuilepis	Dolichomastix tenuilepis	https://norcca.scrol.net/species/Dolichomastix-tenuilepis	345463	exact
				
Dolichospermum cf. sigmoideum	Dolichospermum sigmoideum	https://norcca.scrol.net/species/Dolichospermum-cf-sigmoideum	625408	exact
Dolichospermum cf. spiroides	Dolichospermum spiroides	https://norcca.scrol.net/species/Dolichospermum-cf-spiroides	625411	exact
Dolichospermum circinale	Dolichospermum circinale	https://norcca.scrol.net/species/Dolichospermum-circinale	699631	exact
Dolichospermum crassum	Dolichospermum crassum	https://norcca.scrol.net/species/Dolichospermum-crassum	625368	exact
Dolichospermum danicum	Dolichospermum danicum	https://norcca.scrol.net/species/Dolichospermum-danicum	625370	exact
Dolichospermum flos-aquae	Dolichospermum flos-aquae	https://norcca.scrol.net/species/Dolichospermum-flos-aquae	1637127	exact
Dolichospermum lemmermannii	Dolichospermum lemmermannii	https://norcca.scrol.net/species/Dolichospermum-lemmermannii	625374	exact
Dolichospermum sigmoideum	Dolichospermum sigmoideum	https://norcca.scrol.net/species/Dolichospermum-sigmoideum	625408	exact
Dolichospermum spiroides	Dolichospermum spiroides	https://norcca.scrol.net/species/Dolichospermum-spiroides	625411	exact
Draparnaldia sp.				
Dunaliella salina	Dunaliella salina	https://norcca.scrol.net/species/Dunaliella-salina	178972	exact
Dunaliella tertiolecta	Dunaliella tertiolecta	https://norcca.scrol.net/species/Dunaliella-tertiolecta	178590	exact
Ectocarpus flagelliformis	Ectocarpus flagelliformis	https://norcca.scrol.net/species/Ectocarpus-flagelliformis	145405	exact
Ectocarpus siliculosus	Ectocarpus siliculosus	https://norcca.scrol.net/species/Ectocarpus-siliculosus	145410	exact
Emiliania huxleyi	Emiliania huxleyi	https://norcca.scrol.net/species/Emiliania-huxleyi	115104	exact
Enteromorpha sp.				
Entoderma reticulata	Entoderma reticulata	https://norcca.scrol.net/species/Entoderma-reticulata	668010	exact
Entomoneis sp.				
Epicladia flustrae	Epicladia flustrae	https://norcca.scrol.net/species/Epicladia-flustrae	146005	exact
Epicladia perforans	Epicladia perforans	https://norcca.scrol.net/species/Epicladia-perforans	146008	exact
Epicladia phillipsii	Epicladia phillipsii	https://norcca.scrol.net/species/Epicladia-phillipsii	146009	exact
Epicladia testarum	Epicladia testarum	https://norcca.scrol.net/species/Epicladia-testarum	146011	exact
Epipyxis aurea	Epipyxis aurea	https://norcca.scrol.net/species/Epipyxis-aurea	614445	exact
Epipyxis pulchra	Epipyxis pulchra	https://norcca.scrol.net/species/Epipyxis-pulchra	627576	exact
Epipyxis sp.				
Euastrum oblongum	Euastrum oblongum	https://norcca.scrol.net/species/Euastrum-oblongum	611205	exact
Euastrum ruzickae	Euastrum ruzickae	https://norcca.scrol.net/species/Euastrum-ruzickae	1339250	exact
Euastrum sp.				
Euastrum verrucosum var. alpinum	Euastrum verrucosum var. alpinum	https://norcca.scrol.net/species/Euastrum-verrucosum-var-alpinum	674290	exact
Eucampia groenlandica	Eucampia groenlandica	https://norcca.scrol.net/species/Eucampia-groenlandica	157430	exact
Eudorina elegans	Eudorina elegans	https://norcca.scrol.net/species/Eudorina-elegans	390665	exact
Eudorina sp.				
Euglena deses	Euglena deses	https://norcca.scrol.net/species/Euglena-deses	110631	exact
Euglena gracilis	Euglena gracilis	https://norcca.scrol.net/species/Euglena-gracilis	163460	exact
Euglena sanguinea	Euglena sanguinea	https://norcca.scrol.net/species/Euglena-sanguinea	163127	exact
Euglena sp.				
Eunotia bilunaris	Eunotia bilunaris	https://norcca.scrol.net/species/Eunotia-bilunaris	172305	exact
Eutreptiella braarudii	Eutreptiella braarudii	https://norcca.scrol.net/species/Eutreptiella-braarudii	248121	exact
Eutreptiella eupharyngea	Eutreptiella eupharyngea	https://norcca.scrol.net/species/Eutreptiella-eupharyngea	573871	exact
Eutreptiella gymnastica	Eutreptiella gymnastica	https://norcca.scrol.net/species/Eutreptiella-gymnastica	110652	exact
Feldmannia irregularis	Feldmannia irregularis	https://norcca.scrol.net/species/Feldmannia-irregularis	145415	exact
Feldmannia mitchelliae	Feldmannia mitchelliae	https://norcca.scrol.net/species/Feldmannia-mitchelliae	699648	exact
